OBJECTID,NAME,ADDRESS,CITY,STATE,TYPE,STATUS,POPULATION,COUNTY,LATITUDE,LONGITUDE,WEBSITE,OWNER,OPERNAME,CAPACITY,US_RANK,CRUDE,IMAGE
21,PARAMOUNT,14700 DOWNEY AVENUE,PARAMOUNT,CA,SMALL LOW COMPLEXITY REFINERY,IN SERVICE,155,LOS ANGELES,33.89872,-118.14659,http://www.ppcla.com,ALON ISRAEL OIL COMPANY LTD,PARAMOUNT PETROLEUM CORPORATION,84500,77,0,https://drive.google.com/uc?id=1u6PnW9BK1_Nddld4-db_BAHd-Gujo1T8
22,TULSA EAST,902 W 25TH STREET,TULSA,OK,LARGE COMPLEX REFINERY,IN SERVICE,409,TULSA,36.11992,-96.00072,https://www.hollyfrontier.com,HOLLYFRONTIER CORP,HOLLYFRONTIER TULSA REFINING LLC,70300,87,0,https://drive.google.com/uc?id=14exyojSyo0WDVDzHz44aKjSEMySURH6d
23,MOUNT VERNON,1200 REFINERY ROAD,MOUNT VERNON,IN,MEDIUM SIZED COMPLEX REFINERY,IN SERVICE,190,POSEY,37.94216,-87.91082,http://www.countrymark.com,COUNTRYMARK COOP INC,COUNTRYMARK COOPERATIVE INC,28200,110,28200,https://drive.google.com/uc?id=1lnJBsu6kj0WVO3xePClQ_itiHPR4KB7K
24,NEWELL,9995 OHIO RIVER BOULEVARD,NEWELL,WV,SMALL MEDIUM COMPLEXITY REFINERY,IN SERVICE,180,HANCOCK,40.61127,-80.62966,http://www.ergon.com/,ERGON INC,ERGON WEST VIRGINIA INC,22300,116,22300,https://drive.google.com/uc?id=1_hhUEK-lcUaC7b8Ufi7bjOnNTheMpAS_
25,WESTLAKE,2800 OLD SPANISH TRAIL,WESTLAKE,LA,MEDIUM LUBRICANTS REFINERY,IN SERVICE,98,CALCASIEU,30.24224,-93.28476,http://www.fhr.com,EXCEL PARALUBES,EXCEL PARALUBES,0,139,0,https://drive.google.com/uc?id=15pw7OoQVRQeCv3rYqBa_nXghNC3iFhj2
26,WESTLAKE,2200 OLD SPANISH TRAIL,WESTLAKE,LA,LARGE MEDIUM COMPLEXITY REFINERY,IN SERVICE,705,CALCASIEU,30.24116,-93.27022,http://www.phillips66.com,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,260000,21,260000,https://drive.google.com/uc?id=1_PQkZuMPKO0l4Q_tAB4mC5aReGAtAHmw
27,SAINT PAUL PARK,301 ST PAUL PARK RD,SAINT PAUL PARK,MN,MEDIUM REFINERY WITH HIGH COMPLEXITY,IN SERVICE,370,WASHINGTON,44.85156,-93.00051,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,102000,63,98515,https://drive.google.com/uc?id=1nd86st-whT6hzugm5sMGFHq1Nq-qZUk5
28,BRADFORD,77 N KENDALL AVE,BRADFORD,PA,VERY SMALL REFINERY,IN SERVICE,250,MCKEAN,41.96487,-78.63466,http://www.amref.com,AMERICAN REFINING GROUP INC,AMERICAN REFINING GROUP INC,11000,127,11000,https://drive.google.com/uc?id=1-u_4Yt6mGk7eTDzdt6qM4VzD86UGINJv
29,EVANSTON,2990 COUNTY ROAD 180,EVANSTON,WY,VERY SMALL SIMPLE REFINERY,IN SERVICE,26,UINTA,41.26035,-110.80691,http://silvereagleenergy.com,SILVER EAGLE REFINING INC,SILVER EAGLE REFINING,3000,136,3000,https://drive.google.com/uc?id=130BCixYXyfMaE4NmYf810WlwW5-NTLoy
30,EWA BEACH,91-325 KOMOHANA STREET,KAPOLEI,HI,MEDIUM COMPLEX REFINERY,IN SERVICE,260,HONOLULU,21.30378,-158.09246,http://www.hawaiiindependentenergy.com,PAR PETROLEUM INC,HAWAII INDEPENDENT ENERGY LLC,93500,68,93500,https://drive.google.com/uc?id=1unUzGosPqTylFEKcl4s5cv2R4pgbDjUD
